reaction,Bsubtilis,Ecoli,Gmetallireducens,Kpneumoniae,Scerevisiae
ALDD1,0,NA,NA,NA,NA
OCOAT1,0,NA,0,NA,NA
CHOLD2,1,NA,NA,NA,NA
FMNAT,0,0,0,0,0
SORD_D,1,NA,NA,NA,NA
HSK,4,5,NA,5,4
LAAL10,0,NA,NA,NA,NA
THRD_L,0,0,0,0,0
UAGCVT,1,1,1,1,NA
PAP_BS,1,NA,NA,NA,NA
DKMD2K,0,NA,NA,NA,NA
GLXO1,1,NA,NA,NA,NA
GCALDD,0,0,0,0,NA
GLXCBL,0,NA,NA,NA,NA
PGLYCP,0,0,NA,NA,NA
UGLYCH,0,0,NA,0,0
IPDDI,0,0,NA,0,0
IPDPS,0,0,0,0,NA
PPTT,0,NA,NA,NA,NA
PPBNGS,7,4,3,4,4
CPPPGO,3,0,NA,0,0
DM1PE,3,NA,NA,NA,NA
HACD9,0,NA,NA,NA,NA
PPCOAC,0,NA,0,NA,NA
HACD1_1,0,NA,NA,NA,NA
ACOAD1,0,NA,NA,NA,NA
HACD2,0,0,0,NA,NA
ACOAD2,0,NA,NA,NA,NA
HACD3,0,0,0,NA,NA
ACOAD3,0,NA,NA,NA,NA
HACD4,0,0,0,NA,NA
ACOAD4_1,0,NA,NA,NA,NA
HACD5,0,0,0,NA,NA
ACOAD5_1,0,NA,NA,NA,NA
HACD6,0,0,0,NA,NA
ACOAD6,0,NA,NA,NA,NA
HACD7,0,0,0,NA,NA
ACPpds,0,NA,NA,NA,NA
ALDD3,0,NA,NA,NA,NA
PPAKr,0,0,0,0,NA
ACLDC,1,NA,NA,3,NA
BTDD_RR,0,NA,NA,0,0
ACOAD7,0,NA,NA,NA,NA
DAGK_BS,0,NA,NA,NA,NA
ALDD14,0,NA,NA,NA,NA
ALDD16,0,NA,NA,NA,NA
ALDD18,0,NA,NA,NA,NA
HSDy,0,6,0,6,2
SHSL4r,0,NA,NA,NA,0
HIBD,0,NA,NA,NA,NA
HACOADr,1,NA,NA,NA,NA
ACOADH2,5,NA,NA,NA,NA
ACOAD20,0,NA,NA,NA,NA
BUTKr,0,NA,0,NA,NA
SUCBZS,0,0,NA,0,NA
SDPDS,0,0,NA,0,NA
FMNRy,8,NA,NA,NA,NA
KARA2,2,1,1,1,NA
KARA1,1,1,1,1,NA
ALTRH,0,0,NA,0,NA
DKII,0,NA,NA,NA,NA
MNNH,0,0,NA,0,NA
26DPAi,0,NA,NA,NA,NA
DHDPRy,0,0,0,0,NA
LCADi,0,0,NA,0,0
MCA,0,NA,NA,NA,NA
ACNPLYS,0,NA,0,NA,NA
ENO,0,0,0,0,0
PSCVT,8,1,4,1,10
GLYALDDr,0,NA,NA,NA,NA
INS2D,1,NA,NA,4,NA
RMK,0,0,NA,0,NA
GLYCK,0,0,NA,NA,NA
PGM,0,0,0,0,0
DHQS,0,4,0,3,3
FFSD,0,0,NA,NA,NA
RAFH,1,NA,NA,NA,NA
SBTD_D2,0,NA,NA,NA,1
SUCR,0,NA,NA,NA,NA
XYLI2,0,0,NA,0,NA
PMANM,0,0,0,0,0
AB6PGH,0,0,NA,0,NA
G6PDH2r,1,1,2,1,2
G6PI,0,NA,NA,NA,0
HEX1,0,0,0,0,0
MAL6PG,0,NA,NA,NA,NA
BGLA1,0,NA,NA,NA,NA
S6PG,0,NA,NA,NA,NA
TRE6PH,0,0,NA,0,NA
GLTPD,1,1,NA,1,NA
DKMD3M,0,NA,NA,NA,NA
OXADC,0,NA,NA,NA,NA
PENCAC,0,NA,NA,NA,NA
PMDPHT,0,0,0,0,0
RBFSb,2,0,2,3,4
GALCTD_1,0,NA,NA,NA,NA
GLCRD_1,0,NA,NA,NA,NA
HOXPRx,0,NA,NA,NA,NA
DHBD,1,0,NA,0,NA
PSP_D,1,NA,NA,NA,NA
ARAI,3,1,NA,1,NA
XYL14BASE,2,NA,NA,NA,NA
ADADir,0,NA,NA,NA,NA
NDPK6,1,0,1,0,0
AKP1,2,NA,NA,NA,0
PTHPS,0,NA,NA,NA,NA
DHPPDA,2,NA,NA,NA,NA
DMPPS,0,0,0,0,NA
UAAGDS,0,0,0,0,NA
PANTS,0,1,1,1,1
ACONT,0,NA,NA,NA,2
CHORM,2,2,2,2,7
UAPGR,0,0,0,0,NA
HPPK,0,NA,NA,NA,NA
G1SAT,8,5,4,5,NA
IPMD,1,1,1,1,1
IPPMIb,3,3,3,3,3
DPR,0,0,0,0,0
ADSK,2,0,NA,0,0
SADT,2,NA,NA,NA,3
ALDD4,0,0,NA,NA,NA
ALDD6,0,NA,NA,NA,NA
SALADC2,0,NA,NA,NA,NA
FCLT_2,1,NA,NA,NA,NA
GALS1,0,NA,NA,NA,NA
GALS2,0,NA,NA,NA,NA
GALS3,0,0,NA,0,0
GALS4,2,NA,NA,NA,NA
LACZ,0,0,NA,0,NA
G1Dx,0,NA,NA,NA,NA
GBEZY,0,NA,NA,NA,NA
GLCS1,0,0,1,0,NA
PTPATi,1,2,1,2,1
ECOAH2c,4,NA,NA,NA,NA
MLTG1,2,0,NA,0,NA
PNTEH,0,NA,NA,NA,NA
APNPT,1,NA,NA,NA,NA
AHMMPS_1,0,NA,NA,NA,NA
BETALDHx,0,0,NA,NA,NA
RBFK,0,0,1,0,3
HKM1PP,2,NA,NA,NA,NA
DHNPA_1,1,NA,NA,NA,NA
DMATT,0,0,0,0,0
FRTT,0,NA,NA,NA,0
GGTT,0,NA,NA,NA,0
GRTT,0,0,0,1,1
IPDPUPT,0,NA,NA,NA,NA
PPPGO,2,0,NA,0,NA
ECOAH9ir,0,NA,NA,NA,NA
ECOAH1_1,0,NA,NA,NA,NA
ECOAH2,0,0,0,1,NA
ECOAH3,0,0,0,1,NA
ECOAH4,0,0,0,1,NA
ECOAH5_1,0,NA,NA,NA,NA
ECOAH6,0,0,0,1,NA
ECOAH7,0,0,0,1,NA
ALDD4x,0,NA,NA,NA,NA
TAGURr,3,1,NA,3,NA
